Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
21,620,Tulane (LA),P,R/R,4YR JR,145.0,Chicago White Sox, Chase,Solesky, Chase Solesky,SignedBonus,125000.0,2019
22,650,Mustang HS (OK),CF,R/R,HS SR,145.0,Chicago White Sox, Logan,Glass, Logan Glass,SignedBonus,175000.0,2019
23,680,Indiana (IN),P,R/R,4YR SR,145.0,Chicago White Sox, Pauly,Milto, Pauly Milto,SignedBonus,2500.0,2019
24,710,Oregon (OR),C,L/R,4YR 5S,145.0,Chicago White Sox, Jakob,Goldfarb, Jakob Goldfarb,SignedBonus,2500.0,2019
25,740,North Carolina (NC),P,R/R,4YR 5S,145.0,Chicago White Sox, Hansen,Butler, Hansen Butler,SignedBonus,2500.0,2019
26,770,Hope International U (CA),P,R/R,4YR SR,145.0,Chicago White Sox, Justin,Friedman, Justin Friedman,SignedBonus,2500.0,2019
27,800,Central Florida (FL),C,R/R,4YR 5S,145.0,Chicago White Sox, Tyler,Osik, Tyler Osik,SignedBonus,2500.0,2019
28,830,Hillsboro HS (TX),CF,L/L,HS SR,145.0,Chicago White Sox, Caeden,Trenkle, Caeden Trenkle,SignedBonus,0.0,2019
29,860,Tulane (LA),P,R/R,4YR 5S,145.0,Chicago White Sox, Kaleb,Roper, Kaleb Roper,SignedBonus,2500.0,2019
30,890,High Point University (NC),C,R/R,4YR 5S,145.0,Chicago White Sox, Daniel,Millwee, Daniel Millwee,SignedBonus,2500.0,2019
1,7,TCU (TX),P,L/L,4YR JR,113.0,Cincinnati Reds, Nick,Lodolo, Nick Lodolo,SignedBonus,5430000.0,2019
2,49,IMG Academy (FL),SS,R/R,HS SR,113.0,Cincinnati Reds, Rece,Hinds, Rece Hinds,SignedBonus,1800000.0,2019
3,85,Providence School of Jacksonville (FL),2B,L/R,HS SR,113.0,Cincinnati Reds, Tyler,Callihan, Tyler Callihan,SignedBonus,1500000.0,2019
4,114,Chipola College (FL),2B,S/R,JC J2,113.0,Cincinnati Reds, Ivan,Johnson, Ivan Johnson,SignedBonus,397500.0,2019
5,144,Rice (TX),P,L/L,4YR SR,113.0,Cincinnati Reds, Evan,Kravetz, Evan Kravetz,SignedBonus,112500.0,2019
6,174,Alabama - Birmingham (AL),P,L/R,4YR SO,113.0,Cincinnati Reds, Graham,Ashcraft, Graham Ashcraft,SignedBonus,247500.0,2019
7,204,UC Santa Barbara (CA),C,R/R,4YR JR,113.0,Cincinnati Reds, Eric,Yang, Eric Yang,SignedBonus,197500.0,2019
8,234,Grand Canyon University (AZ),OF,R/R,4YR JR,113.0,Cincinnati Reds, Quin,Cotton, Quin Cotton,SignedBonus,147500.0,2019
9,264,South Carolina (SC),CF,R/R,4YR SR,113.0,Cincinnati Reds, TJ,Hopkins, TJ Hopkins,SignedBonus,17500.0,2019
10,294,Minnesota (MN),P,R/R,4YR SR,113.0,Cincinnati Reds, Jake,Stevenson, Jake Stevenson,SignedBonus,7500.0,2019
11,324,Puerto Rico Baseball Academy (PR),RF,L/L,HS SR,113.0,Cincinnati Reds, Wendell,Marrero, Wendell Marrero,SignedBonus,125000.0,2019
12,354,Puerto Rico Baseball Academy (PR),SS,R/R,HS SR,113.0,Cincinnati Reds, Yan,Contreras, Yan Contreras,SignedBonus,249000.0,2019
13,384,South Carolina (SC),C,R/R,4YR JR,113.0,Cincinnati Reds, Luke,Berryhill, Luke Berryhill,SignedBonus,149500.0,2019
14,414,Nova Southeastern University (FL),IF,S/R,4YR SR,113.0,Cincinnati Reds, Garrett,Wolforth, Garrett Wolforth,SignedBonus,25000.0,2019
15,444,Indiana (IN),OF,L/R,4YR 5S,113.0,Cincinnati Reds, Matt,Lloyd, Matt Lloyd,SignedBonus,25000.0,2019
16,474,North Carolina State (NC),P,R/R,4YR JR,113.0,Cincinnati Reds, Jason,Parker, Jason Parker,SignedBonus,125000.0,2019
17,504,Vanderbilt (TN),P,R/R,4YR SR,113.0,Cincinnati Reds, Patrick,Raby, Patrick Raby,SignedBonus,0.0,2019
18,534,Oklahoma (OK),P,R/R,4YR JR,113.0,Cincinnati Reds, Jason,Ruffcorn, Jason Ruffcorn,SignedBonus,0.0,2019
19,564,Mercyhurst College (PA),P,R/R,4YR SR,113.0,Cincinnati Reds, Tyler,Garbee, Tyler Garbee,SignedBonus,10000.0,2019
20,594,Cumberland County College (NJ),P,R/R,JC J2,113.0,Cincinnati Reds, Jose,Rodriguez, Jose Rodriguez,SignedBonus,0.0,2019
21,624,John A. Logan College (IL),OF,R/R,JC J2,113.0,Cincinnati Reds, Ashton,Creal, Ashton Creal,SignedBonus,125000.0,2019
22,654,Texas Tech (TX),1B,R/R,4YR SR,113.0,Cincinnati Reds, Cameron,Warren, Cameron Warren,SignedBonus,5000.0,2019
23,684,Southern Mississippi (MS),P,R/R,4YR SR,113.0,Cincinnati Reds, JC,Keys, JC Keys,SignedBonus,5000.0,2019
24,714,University of Illinois (IL),P,L/R,4YR 5S,113.0,Cincinnati Reds, Quinten,Sefcik, Quinten Sefcik,SignedBonus,5000.0,2019
25,744,Puerto Rico Baseball Academy (PR),C,R/R,HS SR,113.0,Cincinnati Reds, Yamil,Nieves, Yamil Nieves,SignedBonus,125000.0,2019
26,774,Pepperdine University (CA),SS,R/R,4YR JR,113.0,Cincinnati Reds, Quincy,McAfee, Quincy McAfee,SignedBonus,75000.0,2019
27,804,Boston College (MA),P,L/R,4YR JR,113.0,Cincinnati Reds, Matt,Gill, Matt Gill,SignedBonus,40000.0,2019
28,834,Cumberland County College (NJ),P,R/R,JC J2,113.0,Cincinnati Reds, Michael,Miles, Michael Miles,SignedBonus,0.0,2019
29,864,South Miami HS (FL),3B,R/R,HS SR,113.0,Cincinnati Reds, Yassel,Pino, Yassel Pino,SignedBonus,125000.0,2019
30,894,Sinclair SS (ON),C,R/R,HS SR,113.0,Cincinnati Reds, Ryan,Leitch, Ryan Leitch,SignedBonus,0.0,2019
1,24,Georgia Premier Academy (GA),P,R/R,HS SR,114.0,Cleveland Indians, Daniel,Espino, Daniel Espino,SignedBonus,2500000.0,2019
2,63,McArthur HS (FL),SS,S/R,HS SR,114.0,Cleveland Indians, Yordys,Valdes, Yordys Valdes,SignedBonus,1000000.0,2019
3,101,Rueben S. Ayala HS (CA),1B,L/L,HS SR,114.0,Cleveland Indians, Joe,Naranjo, Joe Naranjo,SignedBonus,770000.0,2019
4,130,Calvary Christian HS (FL),SS,R/R,HS SR,114.0,Cleveland Indians, Christian,Cairo, Christian Cairo,SignedBonus,955000.0,2019
5,160,Georgia State (GA),P,R/R,4YR JR,114.0,Cleveland Indians, Hunter,Gaddis, Hunter Gaddis,SignedBonus,415000.0,2019
